@relation crimer

@attribute crimetype string
@attribute class {personal,property,inchoate,statutory,financial}

@data
'Robert Mueller Isn\'t Done With Paul Manafort Just Yet',financial
'Woman at center of MTC rape case takes message to the public - Deseret News',financial
'Hannibal Buress’ Mic Cut After Joking About Priests Molesting Children at a Catholic University',financial
'Did George Soros Pay ‘March for Our Lives’ Protesters $300 Each?',financial
'AP FACT CHECK: Trump is having it both ways on border policy - Washington Post',financial
'Cicero man charged with attempted murder, accused of shooting girlfriend 11 times',financial
'Serial stowaway arrested at Chicago airport days after leaving jail',financial
'Chicago woman charged in lingerie-store theft',financial
'\'I know what I did\': Craig Taffaro takes the stand in tax evasion trial',financial
'Gun violence in Chicago has declined for 13 months in a row',financial
'Man wanted in killing of 10-month-old child in Las Vegas arrested at Chicago\'s Union Station',financial
'Farrakhan: DNCs Ellison Sold the Final Call  Only Denounced Me Because the Jew Holds The Door',financial
'Chicago woman charged in lingerie-store theft',financial
'Chicago woman charged in lingerie-store theft',financial
'Town in Illinois bans assault weapons',financial
'War on Women Report No. 23',financial
'Trump Administration Wants to Shut Door on Abused Women (Julia Preston/Politico)',financial
'The New York Times Documents Police Lying',financial
'High Court at Auckland celebrates 150 years of colourful cases and characters',financial
'Activists protest R. Kelly at Detroit\'s Little Caesars Arena: \'Black girls do matter\'',financial
'Activists protest R. Kelly at Detroit\'s Little Caesars Arena: \'Black girls do matter\'',financial
'Man gets 76-year sentence for 2010 murder of police officer',financial
'Integrated Rehab Consultants, Notice of Data Security Incident',financial
'Trump and the Russia investigation: What to know - Fox News',financial
'Man Accused Of Sexually Assaulting 3 Young Girls Says He’s Trans-Age',financial
'DePaul Law Prof Under Fire for Using N-Word in Legal Lecture Hypothetical',financial
'Halsey Debuts as a Makeup Artist for YSL Beauté',financial
'A Man Who Served 23 Years For A Crime He Didn’t Commit Keeps Promise To Return To His Job With The White Sox',financial
'Former CPD Supt. Garry McCarthy on possible mayoral run, Laquan McDonald case',financial
'16-year-old girl to be tried as adult in killing cover up',financial
'Chicago PD Season 5 Episode 19: Voight Vows to Protect Olinksy',financial
'Career criminal accused of killing Chicago cop denied bond',financial
'Activists protest R. Kelly at Detroit\'s Little Caesars Arena: \'Black girls do matter\'',financial
'Activists protest R. Kelly at Detroit\'s Little Caesars Arena: \'Black girls do matter\'',financial
'German authorities say driver in fatal van attack had long record of crimes and apparently acted alone - Los Angeles Times',financial
'Man charged with wife\'s 1973 Barrington Township murder focus of TV special',financial
'Chicago…and all that jazz!',financial
'Shomari Legghette, charged with Chicago commander\'s murder, compares himself to Trayvon Martin',financial
'The Real American Crime Story Behind Andrew Cunanan\'s Father',financial
'Thirteen Russians: a Defense Lawyer Decodes the Mueller Indictments',financial
'Ex-NFL players Shane Matthews, Monty Grow face prison for fraud conspiracy',financial
'Robert Mueller Files Yet Another Round of Charges Against Paul Manafort and Rick Gates',financial
'It could soon be a crime to blame Poland for Nazi atrocities, and Israel is appalled - Chicago Tribune',financial
'How much money do colleges make off the NCAA tournament every year? - SB Nation',financial
'1 juror selected, key rulings coming in Bill Cosby retrial - Washington Post',financial
'Chicago White Sox Rehire Groundskeeper Who Was Wrongfully Imprisoned for 23 Years',financial
'Bears DB pleads guilty in northeast Iowa bar fracas',financial
'How outsourcing to India gave prosecutors a window into Backpage operations',financial
'The way cities report gun violence is all wrong',financial
'OTL: Michigan State secrets extend far beyond Larry Nassar case - ABC News',financial
'Amid a Record Homicide Rate, Baltimore Called a Ceasefire — and It Worked. But How Can It Last?',financial
'Don’t be fooled by gun lobby fog',financial
'Woman arrested for 7th DUI in 7th state - ABC News',financial
'Suburban woman sentenced to life in plot to attack Canadian mall',financial
'Gun Confiscation Begins in Illinois',financial
'#MeToo: A timeline of events',financial
'Parolee charged after cop dragged by car on South Side',financial
'Mueller is reportedly investigating whether Manafort agreed to take a $16 million bribe from a wealthy banker who wanted a spot in Trump\'s Cabinet',financial
'Girl Scouts Fight Cybercrime With New Cybersecurity Badge - NBC Chicago',financial
'Mexican Immigrant Charged with Murdering Son, ‘Nearly Decapitating Him’',financial
'Shooting survivors endure new assault _ from online trolls',financial
'Prosecutors: Man accused of repeatedly stealing O\'Hare luggage denied bail',financial
'Suspect alleges Chicago officer sexually assaulted him',financial
'Chicago man shot friend because she was ‘being too loud,’ prosecutors say',financial
'Trial set for elderly man charged with robbing Tucson bank',financial
'Trial set for man who police say is 80 and robbed bank',financial
'Trial set for man who police say is 80 and robbed bank',financial
'Trial set for man who police say is 80 and robbed bank',financial
'Trial set for man who police say is 80 and robbed bank',financial
'Trial set for man who police say is 80 and robbed bank',financial
'Podcast producer suing FBI in Chicago to get Silver Shovel tapes',financial
'Trial set for elderly man charged with robbing Tucson bank',financial
'Trial set for man who police say is 80 and robbed bank',financial
'Trial set for man who police say is 80 and robbed bank',financial
'Trial set for man who police say is 80 and robbed bank',financial
'Trial set for man who police say is 80 and robbed bank',financial
'Cook County jury orders Lutheran Social Services to pay $45M award to estate of slain suburban boy',financial
'Bench trial for Chicago cop, 2 ex-cops in McDonald case',financial
' \'American Chopper\' star sued for fraud after allegedly sabotaging a TV project via Hvper.com',financial
'State AG: Michigan State University Under Investigation In Ongoing Nassar Fallout - NPR',financial
'Disrupting the cycle of gun violence: A candid discussion with young Chicago residents',financial
'The Catastrophic Success of #MeToo',financial
'US Opens Sexual Abuse Investigations in Sports Amid Gymnastics Scandal - U.S. News & World Report',financial
'A Woman\'s World—If She Can Keep It',financial
'Domestic battery case resurfaces as longtime Democratic lawmaker Robert Rita faces primary challenge',financial
'After Being Wrongly Jailed for 23 Years, Chicago Man Gets His Old Job Back. Whoopee.',financial
'LIST: Lawmakers’ guests at State of the Union',financial
'Trial set for man who police say is 80 and robbed bank',financial
'Trial set for man who police say is 80 and robbed bank',financial
'Trial set for man who police say is 80 and robbed bank',financial
'\'Making of a Murderer\' case may go to Supreme Court: report',financial
'Alphabay Spokesperson ‘Trappy’ Pleaded Guilty to Fraud',financial
'Arrest made in North Chicago shooting death sparked by tavern altercation, police say',financial
'Here\'s who\'s coming to Trump\'s State of the Union',financial
'That BuzzFeed Story on Trump Condos and Money Laundering Is Garbage Partisan Spin',financial
'Chicago students trash Walmart during walkout over gun violence',financial
'Gun control, Chiraq style: Felon accused of killing Chicago police commander',financial
'Once Reluctant, Nassar Victims Lead Each Other Out of Shadows - U.S. News & World Report',financial
'Lawsuits claim Chicago police misconduct in murder case',financial
'Illinois judge convicted of fraud, illegally pocketing...',financial
'#ENOUGH: Striking instant camera photos memorialize victims of Chicago gun violence',financial
'High school coach accused of sexually assaulting students',financial
'Baltimore marks 11 homicide-free days with fingers crossed',financial
'Missouri governor\'s scandal ensnares unwitting hairdresser',financial
'Activists to protest R. Kelly concert at Little Caesars Arena',financial
'His toddler was keeping him up. So he nearly decapitated the child, police say. - Washington Post',financial
'Seb Gorka: John Bolton will put America first after years of failed Obama policy',financial
'Research on NFL players\' brains might help survivors of domestic violence in Chicago',financial
'Cision Ltd. Announces Commencement of Exchange Offer and Consent Solicitation Relating to its Warrants',financial
